solid_id,shape_id,r,dx,dy,dz,depth,x,y,z,ax,ay,az
6,2,2.5,396.975,-97.675,-0.0,19.05,-645.251,78.503,270.625,-0.0,-0.0,-1.0
6,2,2.5,396.975,98.425,-0.0,19.05,-645.251,78.503,466.725,-0.0,-0.0,-1.0
6,2,2.5,-396.975,-97.675,-0.0,19.05,148.699,78.503,270.625,-0.0,-0.0,-1.0
6,2,2.5,-396.975,98.425,-0.0,19.05,148.699,78.503,466.725,-0.0,-0.0,-1.0
29,8,12.7,40.64,25.499,0.0,50.602,40.605,-0.574,-76.299,-0.0,1.0,0.0
29,8,12.7,-40.64,25.499,0.0,50.602,-40.675,-0.574,-76.299,-0.0,1.0,0.0
29,8,6.985,40.64,-25.4,0.0,50.8,40.605,-0.574,-25.4,-0.0,1.0,0.0
29,8,6.985,-40.64,-25.4,0.0,50.8,-40.675,-0.574,-25.4,-0.0,1.0,0.0
43,9,25.4,-161.335,0.0,0.0,50.8,40.605,-0.574,107.35,0.0,0.0,-1.0
43,9,25.4,-79.931,0.0,0.0,50.8,-40.799,-0.574,107.35,0.0,0.0,-1.0
67,11,25.4,21.555,-58.939,0.0,25.4,-40.675,-0.574,69.25,0.0,0.0,1.0
67,11,25.4,-59.725,-58.939,0.0,25.4,40.605,-0.574,69.25,0.0,0.0,1.0
69,11,25.4,21.555,-58.939,0.0,25.4,-40.675,-0.574,145.25,0.0,0.0,1.0
69,11,25.4,-59.725,-58.939,0.0,25.4,40.605,-0.574,145.25,0.0,0.0,1.0
108,2,2.5,396.975,-97.675,-0.0,19.05,-645.251,78.503,588.125,-0.0,-0.0,-1.0
108,2,2.5,396.975,98.425,-0.0,19.05,-645.251,78.503,784.225,-0.0,-0.0,-1.0
108,2,2.5,-396.975,-97.675,-0.0,19.05,148.699,78.503,588.125,-0.0,-0.0,-1.0
108,2,2.5,-396.975,98.425,-0.0,19.05,148.699,78.503,784.225,-0.0,-0.0,-1.0
124,18,30.0,-59.7,0.0,16.4,238.8,40.773,1.738,-524.169,0.0,-1.0,0.0
156,24,25.4,-34.31,-6.35,-2.27,12.7,40.605,-0.574,373.714,0.0,-1.0,0.0
162,29,25.4,105.4,25.4,-7.2,50.8,40.605,-0.574,405.464,0.0,1.0,0.0
175,35,25.4,3.8,7.2,0.0,50.8,40.605,-0.574,456.264,0.0,0.0,-1.0
180,38,25.4,4.879,2.27,0.0,12.7,40.605,-0.574,488.0,0.0,0.0,-1.0
200,41,25.4,41.865,0.0,0.0,50.8,40.605,-0.574,183.35,0.0,0.0,-1.0
200,41,25.4,122.865,0.0,0.0,50.8,-40.395,-0.574,183.35,0.0,0.0,-1.0
220,44,25.4,197.883,6.35,2.259,12.7,40.605,-0.574,215.9,0.0,-1.0,0.0
220,44,25.4,116.603,6.35,2.259,12.7,-40.675,-0.574,215.9,0.0,-1.0,0.0
222,41,25.4,41.865,0.0,0.0,50.8,40.605,-0.574,30.65,0.0,0.0,-1.0
222,41,25.4,122.865,0.0,0.0,50.8,-40.395,-0.574,30.65,0.0,0.0,-1.0
